text,option_a,option_b,category
Você prefere ganhar R$1 milhão agora ou trabalhar 10 anos e acumular R$10 milhões?,R$1 milhão agora,R$10 milhões em 10 anos,dinheiro
"Você prefere ter superpoderes mas não poder contar para ninguém, ou ser famoso mundialmente sem superpoderes?",Ter superpoderes em segredo,Ser famoso mundialmente,fantasias
Você prefere viver 100 anos com saúde mediana ou 60 anos com saúde perfeita?,100 anos com saúde mediana,60 anos com saúde perfeita,vida
Você prefere poder voar ou ser invisível?,Poder voar,Ser invisível,fantasias
Você prefere morar em uma grande cidade agitada ou no campo em total paz?,Grande cidade agitada,Campo em total paz,estilo de vida
Você prefere saber como vai morrer ou quando vai morrer?,Como vai morrer,Quando vai morrer,existencial
Você prefere ter a habilidade de falar todos os idiomas do mundo ou tocar qualquer instrumento musical perfeitamente?,Falar todos os idiomas,Tocar qualquer instrumento,habilidades
Você prefere nunca mais precisar dormir ou nunca mais sentir fome?,Nunca mais dormir,Nunca mais sentir fome,fantasias
Você prefere viajar para o passado ou para o futuro?,Viajar para o passado,Viajar para o futuro,fantasia
"Você prefere ter muito dinheiro mas trabalhar 80h por semana, ou ganhar pouco mas ter todo o tempo livre?","Muito dinheiro, 80h/semana","Pouco dinheiro, tempo livre",trabalho
Você prefere ser o mais inteligente do mundo ou o mais feliz?,Ser o mais inteligente,Ser o mais feliz,existencial
Você prefere viver sem internet ou sem televisão?,Viver sem internet,Viver sem televisão,tecnologia
Você prefere comer sua comida favorita todo dia pelo resto da vida ou nunca comer ela novamente?,Comer todo dia para sempre,Nunca comer novamente,dilemas
Você prefere ter a memória de um elefante ou a velocidade de um guepardo?,Memória de elefante,Velocidade de guepardo,habilidades
Você prefere ser famoso e pobre ou rico e anônimo?,Famoso e pobre,Rico e anônimo,vida
